,State_FIPS_Code,Name,State_Abbreviation,Year,Annual_Federal_Minimum,Annual_State_Minimum,Annual_Federal_Average,Annual_State_Average,Annual_Federal_Maximum,Annual_State_Maximum
1458,31,Nebraska,NE,2011,7.25,7.25,7.25,7.25,7.25,7.25
1459,31,Nebraska,NE,2012,7.25,7.25,7.25,7.25,7.25,7.25
1460,31,Nebraska,NE,2013,7.25,7.25,7.25,7.25,7.25,7.25
1461,31,Nebraska,NE,2014,7.25,7.25,7.25,7.25,7.25,7.25
1462,31,Nebraska,NE,2015,7.25,8.0,7.25,8.0,7.25,8.0
1463,31,Nebraska,NE,2016,7.25,9.0,7.25,9.0,7.25,9.0
1464,31,Nebraska,NE,2017,7.25,9.0,7.25,9.0,7.25,9.0
1465,31,Nebraska,NE,2018,7.25,9.0,7.25,9.0,7.25,9.0
1466,31,Nebraska,NE,2019,7.25,9.0,7.25,9.0,7.25,9.0
1467,31,Nebraska,NE,2020,7.25,9.0,7.25,9.0,7.25,9.0
1468,31,Nebraska,NE,2021,7.25,9.0,7.25,9.0,7.25,9.0
1469,31,Nebraska,NE,2022,7.25,9.0,7.25,9.0,7.25,9.0
1470,33,New Hampshire,NH,1974,2.0,2.0,2.0,2.0,2.0,2.0
1471,33,New Hampshire,NH,1975,2.1,2.0999999046325684,2.100000000000014,2.0999999046325684,2.1,2.0999999046325684
1472,33,New Hampshire,NH,1976,2.3000000000000003,2.299999952316284,2.299999999999987,2.299999952316284,2.3000000000000003,2.299999952316284
1473,33,New Hampshire,NH,1977,2.3000000000000003,2.299999952316284,2.2999999999999874,2.299999952316284,2.3000000000000003,2.299999952316284
1474,33,New Hampshire,NH,1978,2.65,2.6500000953674316,2.6499999999999844,2.6500000953674316,2.65,2.6500000953674316
1475,33,New Hampshire,NH,1979,2.9,2.9000000953674316,2.8999999999999875,2.9000000953674316,2.9,2.9000000953674316
1476,33,New Hampshire,NH,1980,3.1,3.0999999046325684,3.1000000000000054,3.0999999046325684,3.1,3.0999999046325684
1477,33,New Hampshire,NH,1981,3.35,3.3499999046325684,3.3499999999999988,3.3499999046325684,3.35,3.3499999046325684
1478,33,New Hampshire,NH,1982,3.35,3.3499999046325684,3.3499999999999988,3.3499999046325684,3.35,3.3499999046325684
1479,33,New Hampshire,NH,1983,3.35,3.3499999046325684,3.3499999999999988,3.3499999046325684,3.35,3.3499999046325684
1480,33,New Hampshire,NH,1984,3.35,3.3499999046325684,3.3499999999999983,3.3499999046325684,3.35,3.3499999046325684
1481,33,New Hampshire,NH,1985,3.35,3.3499999046325684,3.3499999999999988,3.3499999046325684,3.35,3.3499999046325684
1482,33,New Hampshire,NH,1986,3.35,3.3499999046325684,3.3499999999999988,3.3499999046325684,3.35,3.3499999046325684
1483,33,New Hampshire,NH,1987,3.35,3.450000047683716,3.3499999999999988,3.450000047683716,3.35,3.450000047683716
1484,33,New Hampshire,NH,1988,3.35,3.549999952316284,3.3499999999999983,3.549999952316284,3.35,3.549999952316284
1485,33,New Hampshire,NH,1989,3.35,3.6500000953674316,3.3499999999999988,3.6500000953674316,3.35,3.6500000953674316
